position,driver,team,number,laps,time,interval,tyres,km/h,race_name,pits,points,podium,race_name_clean,circuit_difficulty,driver_code,team_code,constructor_code,grid_position,position_change
5.0,G. Russell,Mercedes,63,53,1:22:24.345,1.265,0,223.871,Japanese GP Data,1.0,10.0,0,japanese_gp_data,2.0,7,5,5,10,5.0
6.0,A. Antonelli,Mercedes,12,53,1:22:25.654,1.309,0,223.811,Japanese GP Data,1.0,8.0,0,japanese_gp_data,2.0,1,5,5,10,4.0
7.0,L. Hamilton,Ferrari,44,53,1:22:36.165,10.511,0,223.337,Japanese GP Data,1.0,6.0,0,japanese_gp_data,2.0,10,2,2,10,3.0
8.0,I. Hadjar,Racing Bulls,6,53,1:22:44.117,7.952,0,222.979,Japanese GP Data,1.0,4.0,0,japanese_gp_data,2.0,8,6,6,10,2.0
9.0,A. Albon,Williams,23,53,1:22:47.360,3.233,0,222.834,Japanese GP Data,1.0,2.0,0,japanese_gp_data,2.0,0,9,9,10,1.0
10.0,O. Bearman,Haas F1 Team,87,53,1:23:01.512,14.162,0,222.2,Japanese GP Data,1.0,1.0,0,japanese_gp_data,2.0,16,3,3,10,0.0
11.0,F. Alonso,Aston Martin Racing,14,53,1:23:04.316,2.804,0,222.075,Japanese GP Data,1.0,1.0,0,japanese_gp_data,2.0,5,1,1,10,-1.0
12.0,Y. Tsunoda,Red Bull Racing,22,53,1:23:05.384,1.068,0,222.028,Japanese GP Data,1.0,1.0,0,japanese_gp_data,2.0,19,7,7,10,-2.0
13.0,P. Gasly,Alpine,10,53,1:23:09.105,3.721,0,221.862,Japanese GP Data,1.0,1.0,0,japanese_gp_data,2.0,18,0,0,10,-3.0
14.0,C. Sainz,Williams,55,53,1:23:21.112,12.007,0,221.329,Japanese GP Data,1.0,1.0,0,japanese_gp_data,2.0,3,9,9,10,-4.0
15.0,J. Doohan,Alpine,7,53,1:23:28.297,7.185,0,221.012,Japanese GP Data,1.0,1.0,0,japanese_gp_data,2.0,9,0,0,10,-5.0
16.0,N. Hulkenberg,Sauber,27,53,1:23:28.940,0.643,0,220.984,Japanese GP Data,1.0,1.0,0,japanese_gp_data,2.0,15,8,8,10,-6.0
17.0,L. Lawson,Red Bull Racing,30,53,1:23:29.717,0.777,0,220.949,Japanese GP Data,1.0,1.0,0,japanese_gp_data,2.0,11,7,7,10,-7.0
18.0,E. Ocon,Haas F1 Team,31,53,1:23:30.421,0.704,0,220.918,Japanese GP Data,1.0,1.0,0,japanese_gp_data,2.0,4,3,3,10,-8.0
19.0,G. Bortoleto,Sauber,5,53,1:23:33.080,0.459,0,220.898,Japanese GP Data,1.0,1.0,0,japanese_gp_data,2.0,6,8,8,10,-9.0
20.0,L. Stroll,Aston Martin Racing,18,52,1:22:19.912,1 Lap,0,219.84,Japanese GP Data,2.0,0.0,0,japanese_gp_data,2.0,13,1,1,10,-10.0
